,ticker,open,eps,div
128,COO,318.75,9.33,0.06 (0.02%)
129,CPRT,90.10,2.90,N/A (N/A)
130,GLW,28.53,1.35,0.80 (2.81%)
131,CTVA,26.71,4.77,0.52 (1.89%)
132,COST,295.99,8.43,2.60 (0.88%)
133,COTY,11.14,-4.95,0.50 (4.54%)
134,CCI,133.52,1.98,4.80 (3.60%)
135,CSX,72.30,4.19,0.96 (1.33%)
136,CMI,182.62,16.07,5.24 (2.88%)
137,CVS,72.94,3.55,2.00 (2.73%)
138,DHI,54.13,4.29,0.70 (1.30%)
139,DHR,151.00,3.37,0.68 (0.45%)
140,DRI,116.33,5.74,3.52 (3.03%)
141,DVA,71.90,2.56,N/A (N/A)
142,DE,172.72,10.15,3.04 (1.75%)
143,DAL,59.49,7.07,1.61 (2.74%)
144,XRAY,57.65,0.71,0.40 (0.70%)
145,DVN,24.65,3.32,0.36 (1.49%)
146,FANG,86.63,6.71,0.75 (0.86%)
147,DLR,113.81,1.00,4.32 (3.80%)
148,DFS,86.47,8.84,1.76 (2.03%)
149,DISCA,32.33,2.22,N/A (N/A)
150,DISCK,30.23,2.22,N/A (N/A)
151,DISH,34.77,2.56,N/A (N/A)
152,DG,155.74,6.38,1.28 (0.84%)
153,DLTR,92.28,-6.75,N/A (N/A)
154,D,81.84,1.25,3.67 (4.50%)
155,DOV,114.44,4.43,1.96 (1.72%)
156,DOW,54.36,2.48,2.80 (5.17%)
157,DTE,128.98,5.95,4.05 (3.15%)
158,DUK,90.70,4.83,3.78 (4.17%)
159,DRE,34.15,1.12,0.94 (2.76%)
160,DD,64.95,1.05,1.20 (1.85%)
161,DXC,37.03,-4.56,0.84 (2.28%)
162,ETFC,46.00,4.14,0.56 (1.23%)
163,EMN,79.41,5.50,2.64 (3.32%)
164,ETN,94.21,5.62,2.84 (3.01%)
165,EBAY,35.84,2.23,0.56 (1.58%)
166,ECL,187.52,5.21,1.88 (1.01%)
167,EIX,73.86,-0.87,2.55 (3.45%)
168,EW,238.13,3.64,N/A (N/A)
169,EA,106.00,9.16,N/A (N/A)
170,EMR,76.46,3.71,2.00 (2.63%)
171,ETR,119.02,4.09,3.72 (3.13%)
172,EOG,78.91,5.15,1.15 (1.46%)
173,EFX,136.34,-3.17,1.56 (1.13%)
174,EQIX,559.60,5.91,9.84 (1.76%)
175,EQR,79.48,2.14,2.27 (2.83%)
176,ESS,296.23,6.49,7.80 (2.63%)
